#Person location Sublocation StartTime EndTime Type
40017 5302 1 8396400 0 1
40059 5256 1 9303240 0 1
40053 520 1 9682500 0 1
40021 970 1 9440340 0 1
40022 976 1 8737380 0 1
40022 997 1 8818020 0 1
40004 5022 1 8949360 0 1
40004 984 1 8963040 0 1
40045 5257 1 7877820 0 1
40040 5239 1 10153740 0 1
40035 1096 1 8578200 0 1
40035 1096 1 8572440 0 1
40024 978 1 10494960 0 1
40049 992 1 9052440 0 1
40015 639 1 8317860 0 1
40017 981 1 8407500 0 1
40044 5118 1 9542460 0 1
40021 5253 1 9436920 0 1
40026 5153 1 22594380 0 1
40004 973 1 8948280 0 1
40022 522 1 8901540 0 1
40060 5112 1 9077820 0 1
40045 970 1 7877880 0 1
40008 982 1 8134140 0 1
40051 5302 1 10482060 0 1
40039 969 1 10269660 0 1
40042 5188 1 9572220 0 1
40000 974 1 9100080 0 1
40019 1069 1 17632380 0 1
40024 978 1 10511400 0 1
40062 5183 1 10011180 0 1
40023 5122 1 9842460 0 1
40023 973 1 9856860 0 1
40038 810 1 26415600 0 1
40007 5038 1 8025120 0 1
40022 968 1 8712900 0 1
40045 970 1 7883220 0 1
40045 995 1 7903380 0 1
40051 5185 1 10482180 0 1
40034 5198 1 8958780 0 1
40024 978 1 10517160 0 1
40010 971 1 10334040 0 1
40043 976 1 9830220 0 1
40015 5042 1 8306280 0 1
40023 973 1 9849660 0 1
40006 976 1 8178720 0 1
40044 889 1 9542880 0 1
40029 1338 1 3743100 0 1
40032 5256 1 8144220 0 1
40054 5071 1 9091380 0 1
40007 968 1 8015940 0 1
40007 969 1 8031540 0 1
40053 898 1 9640980 0 1
40022 968 1 8704260 0 1
40022 968 1 8711460 0 1
40022 993 1 8764740 0 1
40022 993 1 8789220 0 1
40022 993 1 8796420 0 1
40022 997 1 8842500 0 1
40004 984 1 8971680 0 1
40002 994 1 10203480 0 1
40035 1096 1 8575320 0 1
40010 971 1 10321500 0 1
40010 971 1 10322940 0 1
40013 975 1 10271220 0 1
40049 5302 1 9046260 0 1
40025 5302 1 8829540 0 1
40017 5032 1 8396820 0 1
40054 5120 1 9058920 0 1
40054 5064 1 9091320 0 1
40053 898 1 9645300 0 1
40053 898 1 9659040 0 1
40053 5000 1 9682500 0 1
40021 5034 1 9437160 0 1
40022 5256 1 8696580 0 1
40004 973 1 8960160 0 1
40022 997 1 8875620 0 1
40022 997 1 8879940 0 1
40045 5043 1 7899840 0 1
40008 982 1 8138460 0 1
40033 5195 1 10090740 0 1
40018 1117 1 10143720 0 1
40051 977 1 10483620 0 1
40030 5194 1 8506260 0 1
40024 978 1 10508520 0 1
40030 5020 1 8513820 0 1
